Date,hour,temp
2023-02-07,12,39
2023-02-07,13,39
2023-02-07,14,39
2023-02-07,15,40
2023-02-07,16,41
2023-02-07,17,40
2023-02-07,18,41
2023-02-07,19,43
2023-02-07,20,42
2023-02-07,21,41
2023-02-07,22,41
2023-02-07,23,41
2023-02-08,0,42
2023-02-08,1,41
2023-02-08,2,40
2023-02-08,3,40
2023-02-08,4,40
2023-02-08,5,40
2023-02-08,6,39.5
2023-02-08,7,42
2023-02-08,8,44
2023-02-08,9,46
2023-02-08,10,46
2023-02-08,11,48
2023-02-08,12,50
2023-02-08,13,50
2023-02-08,14,52
2023-02-08,15,53
2023-02-08,16,52
2023-02-08,17,51
2023-02-08,18,51
2023-02-08,19,50
2023-02-08,20,49
2023-02-08,21,49
2023-02-08,22,48
2023-02-08,23,48
2023-02-09,0,46
2023-02-09,1,45
2023-02-09,2,44
2023-02-09,3,44
2023-02-09,4,43
2023-02-09,5,44
2023-02-09,6,44
2023-02-09,7,43
2023-02-09,8,44
2023-02-09,9,48
2023-02-09,10,47.5
2023-02-09,11,47
2023-02-09,12,50
2023-02-09,13,51
2023-02-09,14,52
2023-02-09,15,52
2023-02-09,16,51.5
2023-02-09,17,50.25
2023-02-09,18,51
2023-02-09,19,54
2023-02-09,20,55
2023-02-09,21,55
2023-02-09,22,54
2023-02-09,23,53
2023-02-10,0,53
2023-02-10,1,57
2023-02-10,2,58
2023-02-10,3,59
2023-02-10,4,60
2023-02-10,5,60
2023-02-10,6,58
2023-02-10,7,56
2023-02-10,8,56
2023-02-10,9,56
2023-02-10,10,57
2023-02-10,11,57
2023-02-10,12,57
2023-02-10,13,57
2023-02-10,14,57
2023-02-10,15,57
2023-02-10,16,55
2023-02-10,17,52
2023-02-10,18,50
2023-02-10,19,49
2023-02-10,20,49
2023-02-10,21,48
2023-02-10,22,47
2023-02-10,23,45
2023-02-11,0,45
2023-02-11,1,43
2023-02-11,2,41
2023-02-11,3,40
2023-02-11,4,39
2023-02-11,5,38
2023-02-11,6,37
2023-02-11,7,37
2023-02-11,8,37
2023-02-11,9,39
2023-02-11,10,40
2023-02-11,11,42
2023-02-11,12,43
2023-02-11,13,43
2023-02-11,14,45
2023-02-11,15,44
2023-02-11,16,43
2023-02-11,17,42
2023-02-11,18,42
2023-02-11,19,41
2023-02-11,20,40
2023-02-11,21,39
2023-02-11,22,40
2023-02-11,23,39
2023-02-12,0,40
2023-02-12,1,40
2023-02-12,2,40
2023-02-12,3,41
2023-02-12,4,41
2023-02-12,5,40
2023-02-12,6,39
2023-02-12,7,40
2023-02-12,8,42
2023-02-12,9,43
2023-02-12,10,44
2023-02-12,11,45
2023-02-12,12,46
2023-02-12,13,47
2023-02-12,14,47
2023-02-12,15,48
2023-02-12,16,47
2023-02-12,17,45
2023-02-12,18,44
2023-02-12,19,44
2023-02-12,20,43
2023-02-12,21,43
2023-02-12,22,41
2023-02-12,23,41
2023-02-13,0,43
2023-02-13,1,43
2023-02-13,2,43
2023-02-13,3,43
2023-02-13,4,42
2023-02-13,5,42.333333333333336
2023-02-13,6,41.5
2023-02-13,7,41
2023-02-13,8,43
2023-02-13,9,45
2023-02-13,10,47
2023-02-13,11,50
2023-02-13,12,53
2023-02-13,13,55
2023-02-13,14,56
2023-02-13,15,57
2023-02-13,16,56
2023-02-13,17,55
2023-02-13,18,54
2023-02-13,19,52
2023-02-13,20,52
2023-02-13,21,51
2023-02-13,22,49
2023-02-13,23,49
2023-02-14,0,48
2023-02-14,1,47
2023-02-14,2,45
2023-02-14,3,44
2023-02-14,4,44
2023-02-14,5,42
2023-02-14,6,41
2023-02-14,7,41
2023-02-14,8,42
2023-02-14,9,45
2023-02-14,10,47
2023-02-14,11,49
2023-02-14,12,50
2023-02-14,13,52
2023-02-14,14,54
2023-02-14,15,54
2023-02-14,16,53
2023-02-14,17,52
2023-02-14,18,51
2023-02-14,19,51
2023-02-14,20,51
2023-02-14,21,50
2023-02-14,22,49
2023-02-14,23,50
2023-02-15,0,50
2023-02-15,1,50
2023-02-15,2,50
2023-02-15,3,48
2023-02-15,4,48
2023-02-15,5,48
2023-02-15,6,49
2023-02-15,7,49
2023-02-15,8,50
2023-02-15,9,52
2023-02-15,10,55
2023-02-15,11,58
